steps,values
1.505280000000000000e+06,1.315910034179687500e+03
1.507328000000000000e+06,1.254469970703125000e+03
1.509376000000000000e+06,1.235329956054687500e+03
1.511424000000000000e+06,1.213010009765625000e+03
1.513472000000000000e+06,1.176930053710937500e+03
1.515520000000000000e+06,1.132660034179687500e+03
1.517568000000000000e+06,1.103310058593750000e+03
1.519616000000000000e+06,1.092969970703125000e+03
1.521664000000000000e+06,1.050619995117187500e+03
1.523712000000000000e+06,1.031859985351562500e+03
1.525760000000000000e+06,9.932500000000000000e+02
1.527808000000000000e+06,9.618800048828125000e+02
1.529856000000000000e+06,9.060200195312500000e+02
1.531904000000000000e+06,8.680599975585937500e+02
1.533952000000000000e+06,8.555300292968750000e+02
1.536000000000000000e+06,8.309199829101562500e+02
1.538048000000000000e+06,8.275399780273437500e+02
1.540096000000000000e+06,8.173200073242187500e+02
1.542144000000000000e+06,7.861300048828125000e+02
1.544192000000000000e+06,7.539500122070312500e+02
1.546240000000000000e+06,7.472500000000000000e+02
1.548288000000000000e+06,7.280300292968750000e+02
1.550336000000000000e+06,6.825800170898437500e+02
1.552384000000000000e+06,6.704400024414062500e+02
1.554432000000000000e+06,6.430599975585937500e+02
1.556480000000000000e+06,6.257700195312500000e+02
1.558528000000000000e+06,5.882100219726562500e+02
1.560576000000000000e+06,5.684299926757812500e+02
1.562624000000000000e+06,5.669699707031250000e+02
1.564672000000000000e+06,5.774099731445312500e+02
1.566720000000000000e+06,5.710700073242187500e+02
1.568768000000000000e+06,5.606300048828125000e+02
1.570816000000000000e+06,5.729199829101562500e+02
1.572864000000000000e+06,5.773400268554687500e+02
1.574912000000000000e+06,5.806300048828125000e+02
1.576960000000000000e+06,5.772199707031250000e+02
1.579008000000000000e+06,5.700599975585937500e+02
1.581056000000000000e+06,5.605000000000000000e+02
1.583104000000000000e+06,5.773499755859375000e+02
1.585152000000000000e+06,5.820300292968750000e+02
1.587200000000000000e+06,5.653699951171875000e+02
1.589248000000000000e+06,5.706199951171875000e+02
1.591296000000000000e+06,5.702800292968750000e+02
1.593344000000000000e+06,5.724500122070312500e+02
1.595392000000000000e+06,5.640599975585937500e+02
1.597440000000000000e+06,5.700800170898437500e+02
1.599488000000000000e+06,5.687299804687500000e+02
1.601536000000000000e+06,5.641400146484375000e+02
1.603584000000000000e+06,5.549299926757812500e+02
1.605632000000000000e+06,5.531900024414062500e+02
1.607680000000000000e+06,5.747600097656250000e+02
1.609728000000000000e+06,5.571199951171875000e+02
1.611776000000000000e+06,5.666599731445312500e+02
1.613824000000000000e+06,5.645200195312500000e+02
1.615872000000000000e+06,5.704299926757812500e+02
1.617920000000000000e+06,5.677899780273437500e+02
1.619968000000000000e+06,5.731400146484375000e+02
1.622016000000000000e+06,5.756699829101562500e+02
1.624064000000000000e+06,5.750399780273437500e+02
1.626112000000000000e+06,5.875399780273437500e+02
1.628160000000000000e+06,5.955999755859375000e+02
1.630208000000000000e+06,5.944000244140625000e+02
1.632256000000000000e+06,5.922700195312500000e+02
1.634304000000000000e+06,5.978800048828125000e+02
1.636352000000000000e+06,6.054600219726562500e+02
1.638400000000000000e+06,6.063800048828125000e+02
1.640448000000000000e+06,6.190200195312500000e+02
1.642496000000000000e+06,6.354699707031250000e+02
1.644544000000000000e+06,6.423900146484375000e+02
1.646592000000000000e+06,6.474299926757812500e+02
1.648640000000000000e+06,6.502800292968750000e+02
1.650688000000000000e+06,6.494299926757812500e+02
1.652736000000000000e+06,6.547600097656250000e+02
