steps,values
1.505280000000000000e+06,5.278155761718750000e+03
1.507328000000000000e+06,5.012209472656250000e+03
1.509376000000000000e+06,4.918890136718750000e+03
1.511424000000000000e+06,4.813266601562500000e+03
1.513472000000000000e+06,4.656623535156250000e+03
1.515520000000000000e+06,4.460545410156250000e+03
1.517568000000000000e+06,4.325656738281250000e+03
1.519616000000000000e+06,4.269955566406250000e+03
1.521664000000000000e+06,4.083914550781250000e+03
1.523712000000000000e+06,3.996578369140625000e+03
1.525760000000000000e+06,3.821642089843750000e+03
1.527808000000000000e+06,3.681739013671875000e+03
1.529856000000000000e+06,3.436930419921875000e+03
1.531904000000000000e+06,3.275960449218750000e+03
1.533952000000000000e+06,3.206454101562500000e+03
1.536000000000000000e+06,3.070085449218750000e+03
1.538048000000000000e+06,3.029458496093750000e+03
1.540096000000000000e+06,2.977465332031250000e+03
1.542144000000000000e+06,2.834744873046875000e+03
1.544192000000000000e+06,2.684356445312500000e+03
1.546240000000000000e+06,2.635266601562500000e+03
1.548288000000000000e+06,2.535388183593750000e+03
1.550336000000000000e+06,2.333499023437500000e+03
1.552384000000000000e+06,2.275473144531250000e+03
1.554432000000000000e+06,2.133135253906250000e+03
1.556480000000000000e+06,2.044313720703125000e+03
1.558528000000000000e+06,1.872667114257812500e+03
1.560576000000000000e+06,1.778294677734375000e+03
1.562624000000000000e+06,1.784344726562500000e+03
1.564672000000000000e+06,1.823533569335937500e+03
1.566720000000000000e+06,1.805848022460937500e+03
1.568768000000000000e+06,1.779640136718750000e+03
1.570816000000000000e+06,1.824269165039062500e+03
1.572864000000000000e+06,1.845521240234375000e+03
1.574912000000000000e+06,1.856868652343750000e+03
1.576960000000000000e+06,1.847575683593750000e+03
1.579008000000000000e+06,1.823901733398437500e+03
1.581056000000000000e+06,1.796509521484375000e+03
1.583104000000000000e+06,1.856354492187500000e+03
1.585152000000000000e+06,1.863912475585937500e+03
1.587200000000000000e+06,1.810322509765625000e+03
1.589248000000000000e+06,1.830763916015625000e+03
1.591296000000000000e+06,1.839704833984375000e+03
1.593344000000000000e+06,1.857770629882812500e+03
1.595392000000000000e+06,1.842147949218750000e+03
1.597440000000000000e+06,1.854397705078125000e+03
1.599488000000000000e+06,1.859649169921875000e+03
1.601536000000000000e+06,1.847543334960937500e+03
1.603584000000000000e+06,1.831326049804687500e+03
1.605632000000000000e+06,1.826059814453125000e+03
1.607680000000000000e+06,1.897209106445312500e+03
1.609728000000000000e+06,1.841281738281250000e+03
1.611776000000000000e+06,1.869871826171875000e+03
1.613824000000000000e+06,1.870011474609375000e+03
1.615872000000000000e+06,1.896994506835937500e+03
1.617920000000000000e+06,1.884053955078125000e+03
1.619968000000000000e+06,1.896396850585937500e+03
1.622016000000000000e+06,1.904510986328125000e+03
1.624064000000000000e+06,1.901635253906250000e+03
1.626112000000000000e+06,1.936346191406250000e+03
1.628160000000000000e+06,1.962793212890625000e+03
1.630208000000000000e+06,1.953795654296875000e+03
1.632256000000000000e+06,1.950952880859375000e+03
1.634304000000000000e+06,1.973828979492187500e+03
1.636352000000000000e+06,2.000448486328125000e+03
1.638400000000000000e+06,2.001053344726562500e+03
1.640448000000000000e+06,2.038153076171875000e+03
1.642496000000000000e+06,2.088953369140625000e+03
1.644544000000000000e+06,2.102937988281250000e+03
1.646592000000000000e+06,2.118399414062500000e+03
1.648640000000000000e+06,2.139661132812500000e+03
1.650688000000000000e+06,2.134887207031250000e+03
1.652736000000000000e+06,2.155140625000000000e+03
1.654784000000000000e+06,2.235322021484375000e+03
1.656832000000000000e+06,2.270742919921875000e+03
1.658880000000000000e+06,2.262660156250000000e+03
1.660928000000000000e+06,2.290815429687500000e+03
1.662976000000000000e+06,2.292932373046875000e+03
1.665024000000000000e+06,2.308929687500000000e+03
1.667072000000000000e+06,2.260060546875000000e+03
1.669120000000000000e+06,2.281315917968750000e+03
1.671168000000000000e+06,2.286247802734375000e+03
1.673216000000000000e+06,2.282844970703125000e+03
1.675264000000000000e+06,2.301400878906250000e+03
1.677312000000000000e+06,2.295823242187500000e+03
1.679360000000000000e+06,2.329591308593750000e+03
1.681408000000000000e+06,2.348140380859375000e+03
1.683456000000000000e+06,2.348195800781250000e+03
1.685504000000000000e+06,2.353415039062500000e+03
1.687552000000000000e+06,2.371935791015625000e+03
1.689600000000000000e+06,2.409886718750000000e+03
1.691648000000000000e+06,2.413090087890625000e+03
1.693696000000000000e+06,2.393431884765625000e+03
1.695744000000000000e+06,2.416846191406250000e+03
1.697792000000000000e+06,2.457055908203125000e+03
1.699840000000000000e+06,2.445152099609375000e+03
1.701888000000000000e+06,2.453636474609375000e+03
1.703936000000000000e+06,2.485081787109375000e+03
1.705984000000000000e+06,2.484510498046875000e+03
1.708032000000000000e+06,2.485708007812500000e+03
1.710080000000000000e+06,2.488938476562500000e+03
1.712128000000000000e+06,2.468673339843750000e+03
1.714176000000000000e+06,2.473488037109375000e+03
1.716224000000000000e+06,2.454341308593750000e+03
1.718272000000000000e+06,2.453063964843750000e+03
1.720320000000000000e+06,2.428054687500000000e+03
1.722368000000000000e+06,2.418549072265625000e+03
1.724416000000000000e+06,2.426755615234375000e+03
1.726464000000000000e+06,2.390471435546875000e+03
1.728512000000000000e+06,2.376240478515625000e+03
1.730560000000000000e+06,2.382737060546875000e+03
1.732608000000000000e+06,2.389165039062500000e+03
1.734656000000000000e+06,2.363177246093750000e+03
1.736704000000000000e+06,2.373638671875000000e+03
1.738752000000000000e+06,2.420813232421875000e+03
1.740800000000000000e+06,2.422178466796875000e+03
1.742848000000000000e+06,2.439470703125000000e+03
1.744896000000000000e+06,2.449437988281250000e+03
1.746944000000000000e+06,2.428599609375000000e+03
1.748992000000000000e+06,2.422891601562500000e+03
1.751040000000000000e+06,2.397218750000000000e+03
1.753088000000000000e+06,2.425408935546875000e+03
1.755136000000000000e+06,2.438514648437500000e+03
1.757184000000000000e+06,2.416944580078125000e+03
1.759232000000000000e+06,2.422484863281250000e+03
1.761280000000000000e+06,2.405734619140625000e+03
1.763328000000000000e+06,2.422955078125000000e+03
1.765376000000000000e+06,2.447635498046875000e+03
1.767424000000000000e+06,2.439893554687500000e+03
1.769472000000000000e+06,2.438140136718750000e+03
1.771520000000000000e+06,2.435824707031250000e+03
1.773568000000000000e+06,2.416517578125000000e+03
1.775616000000000000e+06,2.434738281250000000e+03
1.777664000000000000e+06,2.418676269531250000e+03
1.779712000000000000e+06,2.414505371093750000e+03
1.781760000000000000e+06,2.428411376953125000e+03
1.783808000000000000e+06,2.441189697265625000e+03
1.785856000000000000e+06,2.461062255859375000e+03
1.787904000000000000e+06,2.449643554687500000e+03
1.789952000000000000e+06,2.479684814453125000e+03
1.792000000000000000e+06,2.489192626953125000e+03
1.794048000000000000e+06,2.519238037109375000e+03
1.796096000000000000e+06,2.551413574218750000e+03
1.798144000000000000e+06,2.558711914062500000e+03
1.800192000000000000e+06,2.583385986328125000e+03
1.802240000000000000e+06,2.579032226562500000e+03
1.804288000000000000e+06,2.608152343750000000e+03
1.806336000000000000e+06,2.632283447265625000e+03
1.808384000000000000e+06,2.651750000000000000e+03
1.810432000000000000e+06,2.676332763671875000e+03
1.812480000000000000e+06,2.690153076171875000e+03
1.814528000000000000e+06,2.708327880859375000e+03
1.816576000000000000e+06,2.726550292968750000e+03
1.818624000000000000e+06,2.752755371093750000e+03
1.820672000000000000e+06,2.703384033203125000e+03
1.822720000000000000e+06,2.711775878906250000e+03
1.824768000000000000e+06,2.698832031250000000e+03
1.826816000000000000e+06,2.745885009765625000e+03
1.828864000000000000e+06,2.759491455078125000e+03
1.830912000000000000e+06,2.754303466796875000e+03
1.832960000000000000e+06,2.764732177734375000e+03
1.835008000000000000e+06,2.771707275390625000e+03
1.837056000000000000e+06,2.760276855468750000e+03
1.839104000000000000e+06,2.695509033203125000e+03
1.841152000000000000e+06,2.709272216796875000e+03
1.843200000000000000e+06,2.728198242187500000e+03
1.845248000000000000e+06,2.698331054687500000e+03
1.847296000000000000e+06,2.707297363281250000e+03
1.849344000000000000e+06,2.707226562500000000e+03
1.851392000000000000e+06,2.724640869140625000e+03
1.853440000000000000e+06,2.724019042968750000e+03
1.855488000000000000e+06,2.741303955078125000e+03
1.857536000000000000e+06,2.750335693359375000e+03
1.859584000000000000e+06,2.775549316406250000e+03
1.861632000000000000e+06,2.762227783203125000e+03
1.863680000000000000e+06,2.764728515625000000e+03
1.865728000000000000e+06,2.802571777343750000e+03
1.867776000000000000e+06,2.801205322265625000e+03
1.869824000000000000e+06,2.799972167968750000e+03
1.871872000000000000e+06,2.768462402343750000e+03
