steps,values
1.505280000000000000e+06,4.965686523437500000e+03
1.507328000000000000e+06,4.914207031250000000e+03
1.509376000000000000e+06,4.887157714843750000e+03
1.511424000000000000e+06,4.841391601562500000e+03
1.513472000000000000e+06,4.817126464843750000e+03
1.515520000000000000e+06,4.770659179687500000e+03
1.517568000000000000e+06,4.750520019531250000e+03
1.519616000000000000e+06,4.699770507812500000e+03
1.521664000000000000e+06,4.670915039062500000e+03
1.523712000000000000e+06,4.617876464843750000e+03
1.525760000000000000e+06,4.592062988281250000e+03
1.527808000000000000e+06,4.541478027343750000e+03
1.529856000000000000e+06,4.525230957031250000e+03
1.531904000000000000e+06,4.467045410156250000e+03
1.533952000000000000e+06,4.424030761718750000e+03
1.536000000000000000e+06,4.396065429687500000e+03
1.538048000000000000e+06,4.347171875000000000e+03
1.540096000000000000e+06,4.326288574218750000e+03
1.542144000000000000e+06,4.282706542968750000e+03
1.544192000000000000e+06,4.257232421875000000e+03
1.546240000000000000e+06,4.210672363281250000e+03
1.548288000000000000e+06,4.192120117187500000e+03
1.550336000000000000e+06,4.146874511718750000e+03
1.552384000000000000e+06,4.129308105468750000e+03
1.554432000000000000e+06,4.081931152343750000e+03
1.556480000000000000e+06,4.061049804687500000e+03
1.558528000000000000e+06,4.016580566406250000e+03
1.560576000000000000e+06,3.986265869140625000e+03
1.562624000000000000e+06,3.941801513671875000e+03
1.564672000000000000e+06,3.882728027343750000e+03
1.566720000000000000e+06,3.852967285156250000e+03
1.568768000000000000e+06,3.809476562500000000e+03
1.570816000000000000e+06,3.789906250000000000e+03
1.572864000000000000e+06,3.749440185546875000e+03
1.574912000000000000e+06,3.730242675781250000e+03
1.576960000000000000e+06,3.678584472656250000e+03
1.579008000000000000e+06,3.649473632812500000e+03
1.581056000000000000e+06,3.602173583984375000e+03
1.583104000000000000e+06,3.573245605468750000e+03
1.585152000000000000e+06,3.526661865234375000e+03
1.587200000000000000e+06,3.498541748046875000e+03
1.589248000000000000e+06,3.454840576171875000e+03
1.591296000000000000e+06,3.416312744140625000e+03
1.593344000000000000e+06,3.392329101562500000e+03
1.595392000000000000e+06,3.342060058593750000e+03
1.597440000000000000e+06,3.320146972656250000e+03
1.599488000000000000e+06,3.279897949218750000e+03
1.601536000000000000e+06,3.255781005859375000e+03
1.603584000000000000e+06,3.213369873046875000e+03
1.605632000000000000e+06,3.187587890625000000e+03
1.607680000000000000e+06,3.141897216796875000e+03
1.609728000000000000e+06,3.120429931640625000e+03
1.611776000000000000e+06,3.072447753906250000e+03
1.613824000000000000e+06,3.053218750000000000e+03
1.615872000000000000e+06,3.012958740234375000e+03
1.617920000000000000e+06,2.986171142578125000e+03
1.619968000000000000e+06,2.940810546875000000e+03
1.622016000000000000e+06,2.893911132812500000e+03
1.624064000000000000e+06,2.868192626953125000e+03
1.626112000000000000e+06,2.829702636718750000e+03
1.628160000000000000e+06,2.811931884765625000e+03
