steps,values
1.708032000000000000e+06,1.999999949475750327e-04
1.710080000000000000e+06,1.999999949475750327e-04
1.712128000000000000e+06,1.999999949475750327e-04
1.714176000000000000e+06,1.999999949475750327e-04
1.716224000000000000e+06,1.999999949475750327e-04
1.718272000000000000e+06,1.999999949475750327e-04
1.720320000000000000e+06,1.999999949475750327e-04
1.722368000000000000e+06,1.999999949475750327e-04
1.724416000000000000e+06,1.999999949475750327e-04
1.726464000000000000e+06,1.999999949475750327e-04
1.728512000000000000e+06,1.999999949475750327e-04
1.730560000000000000e+06,1.999999949475750327e-04
1.732608000000000000e+06,1.999999949475750327e-04
1.734656000000000000e+06,1.999999949475750327e-04
1.736704000000000000e+06,1.999999949475750327e-04
1.738752000000000000e+06,1.999999949475750327e-04
1.740800000000000000e+06,1.999999949475750327e-04
1.742848000000000000e+06,1.999999949475750327e-04
1.744896000000000000e+06,1.999999949475750327e-04
1.746944000000000000e+06,1.999999949475750327e-04
1.748992000000000000e+06,1.999999949475750327e-04
1.751040000000000000e+06,1.999999949475750327e-04
1.753088000000000000e+06,1.999999949475750327e-04
1.755136000000000000e+06,1.999999949475750327e-04
1.757184000000000000e+06,1.999999949475750327e-04
1.759232000000000000e+06,1.999999949475750327e-04
1.761280000000000000e+06,1.999999949475750327e-04
1.763328000000000000e+06,1.999999949475750327e-04
1.765376000000000000e+06,1.999999949475750327e-04
1.767424000000000000e+06,1.999999949475750327e-04
1.769472000000000000e+06,1.999999949475750327e-04
1.771520000000000000e+06,1.999999949475750327e-04
1.773568000000000000e+06,1.999999949475750327e-04
1.775616000000000000e+06,1.999999949475750327e-04
1.777664000000000000e+06,1.999999949475750327e-04
1.779712000000000000e+06,1.999999949475750327e-04
1.781760000000000000e+06,1.999999949475750327e-04
1.783808000000000000e+06,1.999999949475750327e-04
1.785856000000000000e+06,1.999999949475750327e-04
1.787904000000000000e+06,1.999999949475750327e-04
1.789952000000000000e+06,1.999999949475750327e-04
1.792000000000000000e+06,1.999999949475750327e-04
1.794048000000000000e+06,1.999999949475750327e-04
1.796096000000000000e+06,1.999999949475750327e-04
1.798144000000000000e+06,1.999999949475750327e-04
